FID,lamp_post_info_id,parent_id,department_id,responsible_id,lamp_status_id,lamp_survey_id,lamp_post_type_id,lamp_cover_type_id,single_tag_lamp_type_id,lamp_post_code,geom,color_code,longitude,latitude,iot_control_id,lux,lamp_survey_name,district_name,lamp_post_type_name
bma_streetlight.fid-122492c5_19f42063c6e_-2c17,912484,576678,2,33,1,2,1,1,3,lamp-ID-8d0673c7-c52e-4c92-83ff-4213933b4ccd,POINT (13.743589 100.522169),#9D5A9B,100.5222,13.7436,1,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c16,575731,575731,2,33,1,2,1,1,3,lamp-ID-326de83a-c202-432b-83a2-0026e6e668f7,POINT (13.742348114711488 100.5451791792703),#9D5A9B,100.5452,13.7423,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c15,468806,468806,1,3,1,1,2,1,10,lamp-ID-6a22fb9c-8fef-4623-8867-d6d9f27f15b7,POINT (13.743181810447446 100.54737037433105),#ABABAB,100.5474,13.7432,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c14,413800,413800,2,33,1,2,1,1,3,lamp-ID-e704bb50-7033-4cf5-9857-fd0e557ab044,POINT (13.735147201088902 100.55076545640692),#9D5A9B,100.5508,13.7351,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c13,575738,575738,1,3,1,1,2,1,10,lamp-ID-004f644c-3136-474d-826d-2ce11060a1ad,POINT (13.742615788051523 100.54357313655868),#ABABAB,100.5436,13.7426,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c12,737252,737252,1,3,1,1,2,1,10,lamp-ID-7383a0bb-1bac-43d1-bea2-a7dd820d37f3,POINT (13.74426193915912 100.53047985437952),#ABABAB,100.5305,13.7443,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c11,429913,429913,2,33,1,1,2,1,1,lamp-ID-d8f441e3-d1a5-4db4-a9ca-47e7149a26e9,POINT (13.734490049430939 100.54943368769138),#E3525B,100.5494,13.7345,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c10,853245,576605,1,3,1,1,2,1,3,lamp-ID-5d053849-061a-4d2e-b00e-e34ff8e02d33,POINT (13.742446 100.521842),#9D5A9B,100.5218,13.7424,1,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c0f,403774,403774,2,33,1,1,2,1,10,lamp-ID-dc8a1cad-ed69-464a-b094-e384ed1e2844,POINT (13.731955794003976 100.53893677428348),#ABABAB,100.5389,13.732,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c0e,864137,864137,2,33,1,2,1,1,3,90/6,POINT (13.724813 100.55129),#9D5A9B,100.5513,13.7248,1,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c0d,428261,428261,1,3,1,1,2,1,10,lamp-ID-93695463-1cc4-4eb9-85ed-46052715abfe,POINT (13.74421699420291 100.53570967561136),#ABABAB,100.5357,13.7442,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c0c,430330,430330,2,33,1,1,2,1,1,lamp-ID-054e9273-218a-4fda-9c40-164a495288d7,POINT (13.749050675170654 100.52266412086927),#E3525B,100.5227,13.7491,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c0b,403362,403362,1,3,1,1,2,1,2,lamp-ID-16f4faa9-cdca-4246-a0fe-138e34823039,POINT (13.740178251588974 100.54327656535139),#16A3D4,100.5433,13.7402,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c0a,700297,700297,1,3,1,1,2,1,1,lamp-ID-1a330ca3-1384-4dc7-8295-6cb995f780a7,POINT (13.735926036626735 100.54254433212117),#E3525B,100.5425,13.7359,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c09,863535,428950,2,33,1,2,1,1,3,lamp-ID-5d53b8fd-5690-4f07-b324-a74170210089,POINT (13.727903 100.551679),#9D5A9B,100.5517,13.7279,1,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c08,424071,424071,1,3,1,1,2,1,10,lamp-ID-2d3a09b2-b5a2-4de2-9bf6-251e4d3a159a,POINT (13.741362381193412 100.51588764251176),#ABABAB,100.5159,13.7414,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c07,458573,458573,1,3,1,1,2,1,2,lamp-ID-21c61ead-b75b-4bb5-8e74-52d254e3c04f,POINT (13.73467024318767 100.54614635981382),#16A3D4,100.5461,13.7347,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c06,895303,510042,1,3,1,2,2,1,3,lamp-ID-1bc25757-5113-4492-8489-d8f2bf0d26f5,POINT (13.73269 100.528982),#9D5A9B,100.529,13.7327,1,29,มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c05,471951,471951,1,3,1,1,2,1,10,lamp-ID-47f40e4d-bf9c-4dfb-bbbe-17f8c2700b82,POINT (13.743673653077854 100.535564139537),#ABABAB,100.5356,13.7437,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c04,826445,826445,2,33,2,2,1,1,3,ต.2 001-02,POINT (13.73972 100.51782),#9D5A9B,100.5178,13.7397,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c03,847011,847011,2,33,1,2,1,1,3,lamp-ID-ba13c59b-ef27-852S9-9-ff6aca701f43,POINT (13.734725 100.546947),#9D5A9B,100.5469,13.7347,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c02,775054,775054,1,3,1,2,2,1,3,lamp-ID-f453aca8-a477-4c07-8f67-8b947e8156c1,POINT (13.74003728118306 100.53941253278369),#9D5A9B,100.5394,13.74,2,,มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c01,895271,773158,1,3,1,2,2,1,3,lamp-ID-8e6d31df-ebee-4f65-b400-15f8935ab15e,POINT (13.731432 100.532238),#9D5A9B,100.5322,13.7314,1,20,มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c00,468810,468810,1,3,1,1,2,1,10,lamp-ID-26fbb0f2-89dd-4c70-8edf-6c101d52bc0b,POINT (13.743078792949074 100.5483019018308),#ABABAB,100.5483,13.7431,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2bff,908917,394292,2,33,1,2,1,1,3,lamp-ID-48591431-6c5b-44a9-90cd-2943f02b9816,POINT (13.739855344843592 100.5492820427919),#9D5A9B,100.5493,13.7399,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2bfe,816322,421492,2,33,1,2,2,1,1,lamp-ID-81ef3e65-7789-4cb3-85af-667faba37e89,POINT (13.734569 100.550316),#E3525B,100.5503,13.7346,2,,มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2bfd,566025,566025,2,33,1,1,2,1,10,lamp-ID-850110e9-5fb5-4f59-8dc1-9f63a98bbb04,POINT (13.732550575882522 100.53958964588236),#ABABAB,100.5396,13.7326,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2bfc,420841,420841,2,33,1,2,1,1,1,lamp-ID-bcd51487-fd49-465d-a31b-56e177b2cc02,POINT (13.733675742799466 100.54956994905552),#E3525B,100.5496,13.7337,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2bfb,847008,847008,2,33,1,2,1,1,3,lamp-ID-ba13c59b-ef27-8589-9-ff6aca701f43,POINT (13.739326 100.549171),#9D5A9B,100.5492,13.7393,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2bfa,718922,718922,2,33,1,1,2,1,1,lamp-ID-0d826480-98b4-4bf4-9f0c-8561d11f4f2a,POINT (13.731598946316362 100.55023825757723),#E3525B,100.5502,13.7316,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2bf9,911871,703762,1,3,1,1,2,1,2,lamp-ID-d1e4a11a-19ae-4f28-af16-6274dc1b1da9,POINT (13.734808097866344 100.54234567205314),#16A3D4,100.5423,13.7348,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2bf8,914674,403309,2,33,1,2,1,1,3,lamp-ID-ef864948-5a22-435f-a727-d7fc142a933c,POINT (13.739934517201073 100.54475709612011),#9D5A9B,100.5448,13.7399,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2bf7,453817,453817,2,33,1,2,1,1,3,lamp-ID-c639e462-81a2-451b-901b-576d43642ff6,POINT (13.749393382508039 100.52080705386466),#9D5A9B,100.5208,13.7494,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2bf6,434376,434376,2,33,1,2,1,1,1,lamp-ID-0fe90d72-8c02-4517-b699-9b851d20558f,POINT (13.749598331621291 100.5185821899269),#E3525B,100.5186,13.7496,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2bf5,912496,418847,2,33,1,2,1,1,3,lamp-ID-b0709cd6-94ac-42c8-9ecd-9f0bb12940d3,POINT (13.74694 100.521143),#9D5A9B,100.5211,13.7469,1,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2bf4,860285,860285,2,33,1,2,1,1,3,7/31,POINT (13.730343 100.546367),#9D5A9B,100.5464,13.7303,1,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2bf3,435195,435195,1,3,1,2,1,1,3,lamp-ID-40ad6530-f61a-4618-ac00-33334284e667,POINT (13.72729802 100.5424518),#9D5A9B,100.5425,13.7273,2,57.2,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
